"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"11","GABRB3","X6927",0.658527212771662,0.0912575531873268,7.21613926487692,5.34842843211614e-13,3.49715803478432e-12,5.34842843211616e-13,2.39563993521804e-13,1.93194489431384,1.61553423107073,2.31032620843419
"12","RIPPLY2","X17394",0.40042059206789,0.0565370363388194,7.08244750694429,1.41630418818522e-12,8.90656505218185e-09,1.41630418818522e-12,2.75625634486152e-13,1.49245227924445,1.33590643242414,1.66734267592386
"13","HSD17B12","X8295",0.531398996114086,0.0774265837706219,6.8632628515339,6.73052166126557e-12,9.81909098409463e-10,6.73052166126559e-12,2.16159597090995e-12,1.70131077165875,1.46176656523548,1.98010982779307
"14","NUDT10","X14507",0.544759997750058,0.0809097248766276,6.7329359799544,1.66273235713191e-11,8.89896125783359e-10,1.6627323571319e-11,1.22310725258488e-11,1.72419452215008,1.47134927064687,2.02049017831458
"15","NKAPP1","X14207",0.531457583705453,0.0806633667255188,6.58858668165806,4.4403298846129e-11,1.46772197192677e-09,4.4403298846129e-11,4.39138027425716e-11,1.70141045027897,1.4526076056327,1.99282828280223
"16","KCNQ3","X9062",-1.0635452221545,0.164527558588017,-6.46423754951387,1.01810829949607e-10,1.25910012671016e-14,1.01810829949607e-10,7.00434334654441e-11,0.345229722177344,0.250070272291682,0.476600277123825
"17","CD9","X3315",-0.975178762962156,0.144568736959134,-6.74543323455758,1.5257108228485e-11,5.86107019796304e-14,1.5257108228485e-11,7.61906414242285e-11,0.377124931567189,0.284071792949289,0.500659402093279
"18","CACNA1D","X2788",-0.953163913517687,0.143405006832857,-6.64665714655716,2.99824317924663e-11,1.1919744888924e-13,2.99824317924665e-11,1.04058252446036e-10,0.385519341968954,0.291058045650472,0.510637535203742
"19","TXNDC5","X21555",0.422311352470404,0.0656717232083289,6.43064216741679,1.27065971670108e-10,3.93588565063844e-08,1.27065971670108e-10,1.62461865427037e-10,1.52548341377994,1.34124346171273,1.73503149289991
"20","SLITRK4","X18887",0.306278544872758,0.0511362516789561,5.98946021299406,2.10538627239508e-09,4.1246780147995e-06,2.10538627239508e-09,2.29915220070953e-10,1.35836061824262,1.22881873917866,1.50155878191259
"21","TOX2","X21058",-0.720312416403756,0.121803448243532,-5.91372762258398,3.34450787951838e-09,1.72727358078413e-10,3.34450787951838e-09,2.03014773232739e-09,0.486600210322657,0.383259571051019,0.617805222806907
"22","PPIB","X16228",0.417885134581372,0.0705552688819689,5.92280549990458,3.16495097770225e-09,1.63649137335631e-07,3.16495097770224e-09,2.178583647025e-09,1.5187462129631,1.32259980477731,1.74398185381414
"23","TMOD1","X20905",-0.716213351287031,0.121344079169118,-5.90233455304268,3.58393460356164e-09,1.87267952467534e-10,3.58393460356165e-09,4.15505354621659e-09,0.488598909871814,0.385180441143206,0.619784571665644
"24","PHACTR1","X15660",-0.65798966630675,0.112986213230204,-5.82362792322393,5.75837000864694e-09,8.10700041427295e-10,5.75837000864696e-09,4.42916247863489e-09,0.517891423256284,0.415015846564568,0.646268156993595
"25","DLG2","X4999",-0.734320765305455,0.128731176799868,-5.70429622069772,1.16824761436946e-08,3.93851837987281e-10,1.16824761436947e-08,1.13436448216168e-08,0.479831266356166,0.372831301844381,0.617539469014496
"26","OSTF1","X15108",-0.792589728220701,0.137510518550596,-5.76384800650048,8.22174641684923e-09,2.16363595145261e-10,8.22174641684923e-09,1.60912895984347e-08,0.452670981193964,0.345727152337089,0.592695759734009
"27","ZNF229","X22626",0.413722570270824,0.0769377636658334,5.37736672549725,7.55831227295699e-08,1.11888432741417e-06,7.55831227295696e-08,6.53877223884505e-08,1.51243747355625,1.30073218406984,1.75859960984434
"28","B3GAT1","X1360",-0.747103021699367,0.138121121301919,-5.40904254655067,6.33625771336941e-08,1.33337611395863e-09,6.33625771336938e-08,8.00694227947032e-08,0.47373697247393,0.361383540725724,0.621020865084434
"29","CCDC125","X3013",0.426385642231465,0.07816656091175,5.45483435957806,4.90185171326665e-08,7.10146730984911e-07,4.90185171326665e-08,8.1791032789218e-08,1.53171135383434,1.31413939386765,1.78530503112009
"30","IL11RA","X8574",-0.810066272968023,0.139730041547512,-5.79736657913024,6.7364335222296e-09,2.37480048188153e-10,6.73643352222963e-09,9.37150398334039e-08,0.444828585135454,0.338262816525771,0.58496666049765
"31","IQCE","X8765",-0.676207846802704,0.127994047405722,-5.28311949273099,1.2700249314464e-07,6.70815018873717e-09,1.27002493144641e-07,1.56028458300927e-07,0.508541808905952,0.395710826752303,0.653544846189461
"32","ZNF423","X22747",-0.717669565527697,0.136896159129055,-5.24243755335119,1.58469031840554e-07,6.91005641921599e-09,1.58469031840554e-07,2.21552028536222e-07,0.487887922981543,0.373073022753291,0.6380376250058
"33","SPG7","X19603",-0.536388075229602,0.106410373252916,-5.04074987082996,4.63711228617088e-07,4.42433187392639e-07,4.63711228617087e-07,9.88950975854925e-07,0.584856901069421,0.474758714070153,0.720487238235256
"34","THSD7A","X20526",-0.782301316019824,0.157769596354639,-4.95850489635115,7.10377486598677e-07,6.72978700152637e-09,7.10377486598678e-07,1.04663298859481e-06,0.457352287149012,0.335704475671468,0.623081101740016
"35","CHODL","X3675",0.177211890840775,0.0417005719872474,4.24962734072253,2.14126453135716e-05,0.0014397506586593,2.14126453135716e-05,2.26125532971628e-06,1.19388403942059,1.10018711690047,1.29556061663297
"36","SVIL","X20029",-0.5839058616916,0.127013424460776,-4.59719800619911,4.2821063584753e-06,6.75490285548201e-07,4.28210635847531e-06,4.94034548607449e-06,0.557715746265546,0.434809358973873,0.715363750142335
"37","DNM1P46","X5126",-0.650083585842142,0.145363995780864,-4.4721086700323,7.74520485935627e-06,3.38243647376565e-07,7.74520485935627e-06,7.39212506680689e-06,0.522002142948739,0.392589091728472,0.694074906776921
"38","VAT1L","X21914",-0.703114923308672,0.155604154665561,-4.51861278909854,6.22461118547839e-06,2.3259029700185e-07,6.22461118547838e-06,8.1774341419048e-06,0.495040885275261,0.364914039155984,0.671570429739921
"39","BASP1","X1427",-0.491018059053418,0.112414399191133,-4.3679285090388,1.25430534178748e-05,4.99384697301437e-06,1.25430534178748e-05,1.21954093980994e-05,0.612003021706292,0.49098277522469,0.762853031669445
"40","IL20RA","X8614",0.131904302770915,0.0372570151558639,3.5403883595907,0.000399538631258344,0.0107195671356211,0.000399538631258344,1.4696593054437e-05,1.14099912358794,1.06064996516585,1.22743510374308
"41","IGSF10","X8547",-1.11652666471936,0.235857569568014,-4.73390218836029,2.20243894273896e-06,2.27685406292347e-09,2.20243894273896e-06,1.93044593023331e-05,0.327415044154881,0.206222621555113,0.519829543095459
"42","GUSBP5","X7736",0.275995623094785,0.065435016740275,4.21785821787542,2.46633812048796e-05,0.000266850687978142,2.46633812048796e-05,2.2007883977791e-05,1.31784209594474,1.15921766046739,1.49817230108777
"43","FRAS1","X6788",0.23144838675985,0.0555523913215746,4.16630825881232,3.09572036406435e-05,0.00176722775204539,3.09572036406435e-05,2.4424746620136e-05,1.26042427031819,1.13039564585036,1.40540999696795
"44","MTMR11","X13544",-0.58929729482838,0.139861083950218,-4.21344721622588,2.51502383199888e-05,3.30951741059762e-06,2.51502383199888e-05,2.97632012961497e-05,0.554716950278222,0.421717347416468,0.729661458820878
"45","LRRC4B","X11297",-0.442467776542857,0.108658747055138,-4.07208612775858,4.65939429005775e-05,3.02587391586332e-05,4.65939429005775e-05,5.16583342205751e-05,0.642449042563768,0.51921615059858,0.794930534836547
"46","CHST5","X3718",0.328035915111412,0.0841114934009279,3.90001296906937,9.61875354123346e-05,0.000266935478552152,9.61875354123345e-05,8.87546371285664e-05,1.38823883014633,1.17724906669798,1.63704274995231
"47","FRMD3","X6801",-0.542153719386494,0.139586488285725,-3.88399855920681,0.000102752516322265,1.07682250111873e-05,0.000102752516322265,8.96824528076552e-05,0.581494526736629,0.442312687536646,0.764472496838884
"48","IGF2BP1","X8521",0.28062249699725,0.0721216505389448,3.89096054929742,9.98481676651928e-05,0.000544762483789968,9.98481676651928e-05,0.000113635672872489,1.32395371308385,1.1494305656464,1.52497548505923
"49","BCRP3","X1498",-0.511720951884825,0.127678471835618,-4.00788750466603,6.12642882595374e-05,1.68935046527346e-05,6.12642882595374e-05,0.000131633879277986,0.599463043540677,0.466747824145655,0.769914549101165
"50","ZFR2","X22499",-0.447340345363725,0.119580359888786,-3.74091820579706,0.000183349188085899,6.13542908225416e-05,0.000183349188085899,0.00015859597535443,0.639326279507292,0.505749625204087,0.808182688229769
"51","HEBP2","X7902",0.20700029725335,0.0575998703378173,3.59376325049543,0.000325936017233491,0.00387115414577807,0.000325936017233491,0.000296396860807667,1.22998293739725,1.0986768870586,1.37698175333297
"52","SLC7A6","X18836",0.259749929079954,0.0753280742742376,3.44824863216753,0.00056423438609822,0.00177246993386474,0.000564234386098219,0.00066077164022174,1.29660580271445,1.11863547480522,1.5028904817501
"53","WDR6","X22119",-0.358820717690271,0.106095941661836,-3.38203999200984,0.000719496692267418,0.000566991011488106,0.000719496692267418,0.000745477074091659,0.698499568742635,0.567357908625797,0.859953902317848
"54","MAP7D2","X11578",0.284109637061762,0.0903210206752212,3.1455538803461,0.00165772656864198,0.00254119280611375,0.00165772656864198,0.00176738296592561,1.32857858422043,1.11302739927864,1.58587385682792
"55","COL18A1","X4007",-0.381838905371867,0.124019751833577,-3.07885558329658,0.00207797385546314,0.000995836340379366,0.00207797385546314,0.00202281508297874,0.682605008348543,0.535307916741673,0.870432853410182
"56","INPP5F","X8714",-0.324960123775182,0.106917111751243,-3.03936496649148,0.0023707745602138,0.00174517022433052,0.0023707745602138,0.00241210221130947,0.722556165879721,0.585954104675494,0.891003934753455
"57","FLVCR1","X6678",0.267989731379249,0.0877617237274849,3.05360605964626,0.00226108780960832,0.00387851190565304,0.00226108780960832,0.00250004266899788,1.30733371543189,1.10073695398666,1.55270651840555
"58","ITGB5","X8863",-0.346638055688623,0.120764496170147,-2.87036394537878,0.00409999595319633,0.00205399162116111,0.00409999595319633,0.00411958735391257,0.707061198728201,0.558035823526519,0.895884310056669
"59","EFNA2","X5444",0.258637968788264,0.0915500495890234,2.82509916651399,0.00472659850486826,0.00635398400390872,0.00472659850486826,0.00481322538948726,1.29516482984863,1.0824242145725,1.5497176743587
"60","P2RY1","X15161",-0.443796907450624,0.151932327594232,-2.92101697168675,0.00348890820994228,0.000844179363168865,0.00348890820994228,0.00579141169474222,0.641595710904997,0.476361243520197,0.864144725985111
"61","CHRDL1","X3684",0.155569346774343,0.0580772808583077,2.6786609923059,0.0073917188795056,0.0237107351943765,0.0073917188795056,0.00711362279411276,1.16832295268626,1.04262332803997,1.3091770393624
"62","PCDHB2","X15379",-0.341521548532454,0.134534603329202,-2.538540569349,0.0111315895969536,0.00421283444421428,0.0111315895969536,0.0101198226423679,0.710688153168124,0.545962751788415,0.925113754370662
"63","C1QTNF3-AMACR","X2245",-0.277734958652125,0.108939557248378,-2.54944086121903,0.0107895808878983,0.00886117942224619,0.0107895808878983,0.0107377544814411,0.757497563085884,0.611859518746724,0.937801146342181
"64","PLXDC1","X15988",-0.37462792595079,0.14352991547978,-2.61010343870485,0.00905148488151053,0.00390912047825054,0.00905148488151053,0.0113095482558302,0.687545048875666,0.518953294603767,0.910907010609448
"65","SIX3","X18467",0.191406388307287,0.079685750021612,2.40201526942238,0.016305027817068,0.0255271097282442,0.016305027817068,0.0158327299205073,1.21095146861718,1.03585294438099,1.4156482995976
"66","SPOCK1","X19641",-0.258941410635309,0.110728790118682,-2.33851928082813,0.0193603266647392,0.0145788253117776,0.0193603266647392,0.0192238070598232,0.771868244989027,0.621284697937791,0.958949398882663
"67","SIX1","X18465",0.123922121744586,0.0561075432208391,2.20865350059667,0.0271987510316963,0.073835955128286,0.0271987510316963,0.0200847081899024,1.1319277150108,1.01405116022872,1.26350661806904
"68","WASH7P","X22061",-0.287948777952834,0.12020695010899,-2.39544200806822,0.0166003400029354,0.0118555598715575,0.0166003400029355,0.0207734108225088,0.749799997546273,0.592413699841237,0.948999046563333
"69","PAPPA","X15256",-0.29594526315145,0.137223667129235,-2.156663419239,0.0310318992046226,0.0165565920867816,0.0310318992046226,0.0301062969239934,0.74382814171424,0.568417719695984,0.973369205840345
"70","ITGA11","X8839",-0.245379799428864,0.119702339107524,-2.04991649501894,0.0403725802620872,0.0302639677469389,0.0403725802620872,0.0407230090864951,0.782407323949757,0.618788296955679,0.989290236389305
"71","SH2D3C","X18345",-0.20804846141519,0.103473138499931,-2.01065188928553,0.0443622390908683,0.0404504601288166,0.0443622390908684,0.0442696019515937,0.812167676963235,0.663085003741964,0.994768893552814
"72","PCDHA4","X15360",-0.246922266611964,0.124067886902391,-1.99021900652041,0.0465668154795146,0.0285205371552315,0.0465668154795146,0.0465197675302305,0.781201416604092,0.61257073557477,0.996253359592216
"73","DUSP9","X5305",0.163059608507343,0.0826626276432947,1.97259164336001,0.0485421058632036,0.0722531333091552,0.0485421058632037,0.0479070558452628,1.17710685317978,1.00104438044488,1.3841349802963
