"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"34","SVIL","X97",0.0918687124735097,0.0449229885048012,2.04502673422297,0.0408522224986191,0.0404450082278689,0.0408522224986191,0.040814854992904,1.09622089250348,1.00382858329826,1.19711698307367
"35","SLITRK4","X93",-0.0887939301170459,0.0452784041886145,-1.96106580406766,0.049871347152259,0.0421472675292927,0.0498713471522591,0.0494155557021923,0.915034115120419,0.837329203998997,0.999950112614503
"36","ZFR2","X111",0.0872438973909506,0.044488516248617,1.96104309038769,0.0498739964875103,0.0488596405164969,0.0498739964875103,0.0497286138895488,1.0911627790214,1.00004800897043,1.19057905184721
"37","FRMD3","X37",0.0875140159612218,0.0448474733632294,1.9513700415724,0.0510130425777029,0.0519652407265455,0.0510130425777029,0.0509110701703513,1.09145756216261,0.99961465763512,1.1917388374639
"38","DNM1P46","X26",0.0801089773380055,0.04245505093458,1.88691276007294,0.0591720605651197,0.063339238209747,0.0591720605651197,0.0590714460680056,1.08340512784871,0.996903410897086,1.17741263418153
"39","BASP1","X5",0.0819566259926535,0.0452986958395614,1.80924912900201,0.0704123082283956,0.0673268948821396,0.0704123082283957,0.0704423212169726,1.0854087302823,0.993196065891546,1.18618282153132
"40","CCDC125","X10",-0.0775057957139526,0.0434561624826107,-1.78353980853618,0.0744984738273172,0.0748187275733694,0.0744984738273172,0.0745787463850131,0.925421660901862,0.849864538145061,1.00769618218872
"41","CHRDL1","X15",-0.0824070453144425,0.046934682225166,-1.75578146921503,0.079125729682685,0.0748253459927716,0.079125729682685,0.0789764377269837,0.920897035572761,0.839963087047344,1.0096293077685
"42","GUSBP5","X41",-0.0797625743572882,0.0460053898277025,-1.73376586213076,0.0829596350899459,0.0781047908949077,0.0829596350899459,0.082995643109578,0.923335543899,0.843722625212503,1.01046066699057
"43","BCRP3","X7",0.0766919955154022,0.0446427992125646,1.71790292876208,0.0858143225433322,0.0857961234090051,0.0858143225433322,0.085860390497252,1.07970946981431,0.989251895015373,1.17843852013907
"44","CHODL","X14",-0.0753791133239216,0.0440844709156095,-1.70987905170097,0.0872882409108355,0.0813305232105125,0.0872882409108353,0.0872054357195207,0.927391833074133,0.850625694944225,1.01108585969648
"45","NUDT10","X67",-0.0707564589574806,0.041712663652311,-1.69628244188047,0.0898324040105757,0.0923068116781608,0.0898324040105757,0.0899820845669073,0.931688768953656,0.858548782411334,1.01105956933091
"46","ZNF229","X112",-0.073445881834546,0.0437275043161207,-1.67962665565319,0.093029978081557,0.092743755357901,0.0930299780815572,0.0929343464129274,0.929186430295827,0.85286823537933,1.01233389453401
"47","PLXDC1","X77",0.0708840247805615,0.043555745268471,1.62743225592039,0.103645325508036,0.104005212210938,0.103645325508036,0.103652288399581,1.07345672426979,0.985620716482459,1.16912045334483
"48","HEBP2","X43",-0.0723153493081881,0.0445456893949787,-1.62339724203123,0.104504513915162,0.105255803951365,0.104504513915162,0.104671653244794,0.93023749980051,0.852464855248809,1.01510555034264
"49","COL18A1","X19",0.0720080836538423,0.0444300195344632,1.62070789993661,0.105080298574546,0.103331861746801,0.105080298574546,0.105095774478981,1.07466403124073,0.985039876900942,1.17244266666243
"50","INPP5F","X52",0.0686656339838903,0.0433068131999888,1.58556192224987,0.112838719730349,0.107396835259581,0.112838719730349,0.112840987602877,1.07107801717853,0.983916581744563,1.16596075334861
"51","ITGB5","X57",0.0695579215330707,0.0441263694780826,1.57633456719388,0.114948719289193,0.113877654123115,0.114948719289193,0.114886391991224,1.07203415326818,0.983214303026929,1.16887765183574
"52","WDR6","X108",0.0662788581511799,0.0437909840993957,1.51352748777561,0.130145724369365,0.127308318490864,0.130145724369365,0.130152087020498,1.0685246424309,0.980639966377301,1.16428551826205
"53","PAPPA","X72",0.0617928320072718,0.0418254791724287,1.47739686980097,0.139569284748602,0.145673001904067,0.139569284748602,0.139399211671316,1.06374194861504,0.980018724559367,1.15461766687374
"54","LRRC4B","X59",0.0689356971988008,0.0466116488278708,1.47893710976347,0.139157123998781,0.130806958400483,0.139157123998781,0.139799356010218,1.07136731501386,0.977828036933451,1.17385458416562
