"","Variable","Term","Beta","StandardError","Z","P","LRT","Wald","LogRank","HR","HRlower","HRupper"
"23","NKAPP1","X14207",3.99807590747268,0.616806393258819,6.48189764433107,9.057608248278e-11,7.64747885329258e-10,9.057608248278e-11,9.03406936478465e-11,54.4931991406526,16.2673103035818,182.544544682902
"24","GABRB3","X6927",1.4982253256218,0.239204035362302,6.26337813805088,3.76725581804209e-10,6.07296457786293e-11,3.76725581804209e-10,4.54480316521333e-10,4.47374258487153,2.7993689907998,7.14960149286171
"25","SLITRK4","X18887",0.680058715244344,0.116219026249987,5.85152652872462,4.87081571385131e-09,3.2785512840755e-07,4.87081571385131e-09,8.23153469212802e-10,1.97399363234632,1.57188197154844,2.47897166013379
"26","HSD17B12","X8295",0.809221848090031,0.132424859056062,6.11080014627348,9.91328460236908e-10,7.01856533917383e-10,9.91328460236908e-10,8.51336777897025e-10,2.24615945318377,1.73268788525986,2.91179521254064
"27","TMOD1","X20905",-0.713211317437452,0.115664739226012,-6.16619483353365,6.99528853795667e-10,1.19451319251136e-08,6.99528853795667e-10,8.77512923342254e-10,0.490067904220256,0.390662977584231,0.614766600694974
"28","PPIB","X16228",1.13263636745137,0.194891784678719,5.81161678681599,6.18723459946851e-09,2.30519139108691e-08,6.18723459946846e-09,5.79353406207605e-09,3.10382855569965,2.11838814088637,4.54768015229995
"29","THSD7A","X20526",-0.649616261641786,0.113459735796693,-5.72552242502861,1.03115923113343e-08,9.17893988942017e-09,1.03115923113343e-08,8.47034153782145e-09,0.522246144192179,0.418117302640858,0.652307458698663
"30","PHACTR1","X15660",-0.772316732892234,0.13467667720651,-5.73459895886786,9.77433434030563e-09,6.98372850742712e-08,9.77433434030559e-09,8.93137304718844e-09,0.461941632301083,0.354772631348013,0.601484028917846
"31","IQCE","X8765",-0.883919674365492,0.155269452329752,-5.69281118148261,1.24964559574549e-08,1.64467396738641e-08,1.24964559574549e-08,1.01571935191609e-08,0.413160279906993,0.304756491789552,0.560123972718199
"32","TXNDC5","X21555",1.13691767971713,0.192472062674973,5.90692313427867,3.48556280332204e-09,8.7703188849776e-09,3.48556280332204e-09,1.20653004063757e-08,3.11714550162674,2.13759073242079,4.54558299254409
